secname,filename,entitytype,assetclass,reportdate,url
AFS SenSub Corp.,AFS_SenSub_Corp._20170502_0001347185-17-000016.xml,Depositor,Auto Loans,20170502,https://www.sec.gov//Archives/edgar/data/1347185/000134718517000016/exh1025730032017.xml
AFS SenSub Corp.,AFS_SenSub_Corp._20170207_0001347185-17-000010.xml,Depositor,Auto Loans,20170207,https://www.sec.gov//Archives/edgar/data/1347185/000134718517000010/exh1025710122016.xml
Ally Auto Assets LLC,Ally_Auto_Assets_LLC_20170525_0001679731-17-000023.xml,Depositor,Auto Loans,20170525,https://www.sec.gov//Archives/edgar/data/1477336/000167973117000023/ex102apr2017aart201711.xml
Ally Auto Assets LLC,Ally_Auto_Assets_LLC_20170525_0001700667-17-000013.xml,Depositor,Auto Loans,20170525,https://www.sec.gov//Archives/edgar/data/1477336/000170066717000013/ex102apr2017aart201721.xml
Ally Auto Assets LLC,Ally_Auto_Assets_LLC_20170511_0001705002-17-000002.xml,Depositor,Auto Loans,20170511,https://www.sec.gov//Archives/edgar/data/1477336/000170500217000002/ex102may2017AART20173_1.xml
Ally Auto Assets LLC,Ally_Auto_Assets_LLC_20170427_0001679731-17-000017.xml,Depositor,Auto Loans,20170427,https://www.sec.gov//Archives/edgar/data/1477336/000167973117000017/ex102mar2017aart201711.xml
Ally Auto Assets LLC,Ally_Auto_Assets_LLC_20170427_0001700667-17-000009.xml,Depositor,Auto Loans,20170427,https://www.sec.gov//Archives/edgar/data/1477336/000170066717000009/ex102mar2017aart201721.xml
Ally Auto Assets LLC,Ally_Auto_Assets_LLC_20170328_0001679731-17-000012.xml,Depositor,Auto Loans,20170328,https://www.sec.gov//Archives/edgar/data/1477336/000167973117000012/ex102feb2017aart201711.xml
Ally Auto Assets LLC,Ally_Auto_Assets_LLC_20170315_0001700667-17-000003.xml,Depositor,Auto Loans,20170315,https://www.sec.gov//Archives/edgar/data/1477336/000170066717000003/ex102mar2017AART20172_1.xml
Ally Auto Assets LLC,Ally_Auto_Assets_LLC_20170216_0001679731-17-000006.xml,Depositor,Auto Loans,20170216,https://www.sec.gov//Archives/edgar/data/1477336/000167973117000006/ex102aart20171jan2017.xml
